raw_name,canonical_name,entity_type,source,resolution_method
Amulet,Amulet,STARTUP,Y Combinator,source_verified
Speko,Speko,STARTUP,Y Combinator,source_verified
screenpipe,screenpipe,STARTUP,Y Combinator,source_verified
TrustAI,TrustAI,STARTUP,Y Combinator,source_verified
Robocurve,Robocurve,STARTUP,Y Combinator,source_verified
LemonLime,LemonLime,STARTUP,Y Combinator,source_verified
83 Sciences,83 Sciences,STARTUP,Y Combinator,source_verified
Locke,Locke,STARTUP,Y Combinator,source_verified
Risklytics,Risklytics,STARTUP,Y Combinator,source_verified
Nebula Security,Nebula Security,STARTUP,Y Combinator,source_verified
Inkbox,Inkbox,STARTUP,Y Combinator,source_verified
Instance,Instance,STARTUP,Y Combinator,source_verified
Definite,Definite,STARTUP,Y Combinator,source_verified
Experiential Labs,Experiential Labs,STARTUP,Y Combinator,source_verified
Perceptron ML,Perceptron ML,STARTUP,Y Combinator,source_verified
6thSense,6thSense,STARTUP,Y Combinator,source_verified
Denta,Denta,STARTUP,Y Combinator,source_verified
Isengard Industries Inc,Isengard Industries Inc,STARTUP,Y Combinator,source_verified
Whitespace,Whitespace,STARTUP,Y Combinator,source_verified
Florin,Florin,STARTUP,Y Combinator,source_verified
Simantic,Simantic,STARTUP,Y Combinator,source_verified
Poth Labs,Poth Labs,STARTUP,Y Combinator,source_verified
Insurf,Insurf,STARTUP,Y Combinator,source_verified
Parasma,Parasma,STARTUP,Y Combinator,source_verified
Pluto,Pluto,STARTUP,Y Combinator,source_verified
Hoplite,Hoplite,STARTUP,Y Combinator,source_verified
LATO,LATO,STARTUP,Y Combinator,source_verified
Bloomy,Bloomy,STARTUP,Y Combinator,source_verified
Cova,Cova,STARTUP,Y Combinator,source_verified
Marble,Marble,STARTUP,Y Combinator,source_verified
Osmaura,Osmaura,STARTUP,Y Combinator,source_verified
Pango,Pango,STARTUP,Y Combinator,source_verified
Tolmo,Tolmo,STARTUP,Y Combinator,source_verified
Mireye,Mireye,STARTUP,Y Combinator,source_verified
Touchmark,Touchmark,STARTUP,Y Combinator,source_verified
Linzumi,Linzumi,STARTUP,Y Combinator,source_verified
Glen,Glen,STARTUP,Y Combinator,source_verified
Cerenovus,Cerenovus,STARTUP,Y Combinator,source_verified
Care GP,Care GP,STARTUP,Y Combinator,source_verified
Zenbu,Zenbu,STARTUP,Y Combinator,source_verified
RealPact,RealPact,STARTUP,Y Combinator,source_verified
Context.dev,Context.dev,STARTUP,Y Combinator,source_verified
Instinct,Instinct,STARTUP,Y Combinator,source_verified
Enjamb Labs,Enjamb Labs,STARTUP,Y Combinator,source_verified
Infera,Infera,STARTUP,Y Combinator,source_verified
Rex,Rex,STARTUP,Y Combinator,source_verified
Uno Wallet,Uno Wallet,STARTUP,Y Combinator,source_verified
Twolabs,Twolabs,STARTUP,Y Combinator,source_verified
GUILD,GUILD,STARTUP,Y Combinator,source_verified
FinalDose,FinalDose,STARTUP,Y Combinator,source_verified
Pops,Pops,STARTUP,Y Combinator,source_verified
Hedge,Hedge,STARTUP,Y Combinator,source_verified
Light Anchor,Light Anchor,STARTUP,Y Combinator,source_verified
GodHands,GodHands,STARTUP,Y Combinator,source_verified
Collar,Collar,STARTUP,Y Combinator,source_verified
Archer,Archer,STARTUP,Y Combinator,source_verified
Revnu,Revnu,STARTUP,Y Combinator,source_verified
Archal,Archal,STARTUP,Y Combinator,source_verified
Imperfect,Imperfect,STARTUP,Y Combinator,source_verified
Inth,Inth,STARTUP,Y Combinator,source_verified
Degla Inc,Degla Inc,STARTUP,Y Combinator,source_verified
Superlog,Superlog,STARTUP,Y Combinator,source_verified
Lab0,Lab0,STARTUP,Y Combinator,source_verified
StableBrowse,StableBrowse,STARTUP,Y Combinator,source_verified
InventoryQuant,InventoryQuant,STARTUP,Y Combinator,source_verified
Keyframe Labs,Keyframe Labs,STARTUP,Y Combinator,source_verified
Discovered Materials,Discovered Materials,STARTUP,Y Combinator,source_verified
Playabl.ai,Playabl.ai,STARTUP,Y Combinator,source_verified
Ontora,Ontora,STARTUP,Y Combinator,source_verified
Hub,Hub,STARTUP,Y Combinator,source_verified
Superset,Superset,STARTUP,Y Combinator,source_verified
Ndea,Ndea,STARTUP,Y Combinator,source_verified
ClaimGlide,ClaimGlide,STARTUP,Y Combinator,source_verified
Carrot Labs,Carrot Labs,STARTUP,Y Combinator,source_verified
Revion,Revion,STARTUP,Y Combinator,source_verified
IncidentFox,IncidentFox,STARTUP,Y Combinator,source_verified
Piris Labs,Piris Labs,STARTUP,Y Combinator,source_verified
Salus,Salus,STARTUP,Y Combinator,source_verified
Sitefire,Sitefire,STARTUP,Y Combinator,source_verified
Fenrock AI,Fenrock AI,STARTUP,Y Combinator,source_verified
Servo7,Servo7,STARTUP,Y Combinator,source_verified
Ossus,Ossus,STARTUP,Y Combinator,source_verified
Grade,Grade,STARTUP,Y Combinator,source_verified
Voxel Energy,Voxel Energy,STARTUP,Y Combinator,source_verified
Shofo,Shofo,STARTUP,Y Combinator,source_verified
Seeing Systems,Seeing Systems,STARTUP,Y Combinator,source_verified
Foreman,Foreman,STARTUP,Y Combinator,source_verified
10x Science,10x Science,STARTUP,Y Combinator,source_verified
Bizzy AI,Bizzy AI,STARTUP,Y Combinator,source_verified
Corelayer,Corelayer,STARTUP,Y Combinator,source_verified
RamAIn,RamAIn,STARTUP,Y Combinator,source_verified
Visibl Semiconductors,Visibl Semiconductors,STARTUP,Y Combinator,source_verified
Approxima,Approxima,STARTUP,Y Combinator,source_verified
Traverse,Traverse,STARTUP,Y Combinator,source_verified
Datoric,Datoric,STARTUP,Y Combinator,source_verified
Haladir,Haladir,STARTUP,Y Combinator,source_verified
Ressl AI,Ressl AI,STARTUP,Y Combinator,source_verified
Bubble Lab,Bubble Lab,STARTUP,Y Combinator,source_verified
Autonomous Technologies Group,Autonomous Technologies Group,STARTUP,Y Combinator,source_verified
Fifth Door,Fifth Door,STARTUP,Y Combinator,source_verified
Goldbridge,Goldbridge,STARTUP,Y Combinator,source_verified
Corvera,Corvera,STARTUP,Y Combinator,source_verified
LogosGuard,LogosGuard,STARTUP,Y Combinator,source_verified
F2,F2,STARTUP,Y Combinator,source_verified
Scoop,Scoop,STARTUP,Y Combinator,source_verified
Thesis,Thesis,STARTUP,Y Combinator,source_verified
MadeThis,MadeThis,STARTUP,Y Combinator,source_verified
Zarna,Zarna,STARTUP,Y Combinator,source_verified
DiligenceSquared,DiligenceSquared,STARTUP,Y Combinator,source_verified
Agentic Fabriq,Agentic Fabriq,STARTUP,Y Combinator,source_verified
Sol,Sol,STARTUP,Y Combinator,source_verified
Digipals,Digipals,STARTUP,Y Combinator,source_verified
Anto Biosciences,Anto Biosciences,STARTUP,Y Combinator,source_verified
Norra,Norra,STARTUP,Y Combinator,source_verified
Lemma,Lemma,STARTUP,Y Combinator,source_verified
Logical,Logical,STARTUP,Y Combinator,source_verified
Moss,Moss,STARTUP,Y Combinator,source_verified
Bron,Bron,STARTUP,Y Combinator,source_verified
Aleph Lab,Aleph Lab,STARTUP,Y Combinator,source_verified
Perseus,Perseus,STARTUP,Y Combinator,source_verified
Locus,Locus,STARTUP,Y Combinator,source_verified
Sciloop,Sciloop,STARTUP,Y Combinator,source_verified
Velvet,Velvet,STARTUP,Y Combinator,source_verified
Caddy,Caddy,STARTUP,Y Combinator,source_verified
Allus AI,Allus AI,STARTUP,Y Combinator,source_verified
Terrain,Terrain,STARTUP,Y Combinator,source_verified
Philon,Philon,STARTUP,Y Combinator,source_verified
Nori,Nori,STARTUP,Y Combinator,source_verified
Boom AI,Boom AI,STARTUP,Y Combinator,source_verified
Codyco,Codyco,STARTUP,Y Combinator,source_verified
Lapis,Lapis,STARTUP,Y Combinator,source_verified
Hyperspell,Hyperspell,STARTUP,Y Combinator,source_verified
Aside,Aside,STARTUP,Y Combinator,source_verified
Helonic,Helonic,STARTUP,Y Combinator,source_verified
Compyle,Compyle,STARTUP,Y Combinator,source_verified
Tell if AI,Tell if AI,STARTUP,Y Combinator,source_verified
Leadbay,Leadbay,STARTUP,Y Combinator,source_verified
Cortex AI,Cortex AI,STARTUP,Y Combinator,source_verified
Antigen,Antigen,STARTUP,Y Combinator,source_verified
Fastshot,Fastshot,STARTUP,Y Combinator,source_verified
The Context Company,The Context Company,STARTUP,Y Combinator,source_verified
Redapto,Redapto,STARTUP,Y Combinator,source_verified
Flick,Flick,STARTUP,Y Combinator,source_verified
Denki,Denki,STARTUP,Y Combinator,source_verified
LunaBill,LunaBill,STARTUP,Y Combinator,source_verified
Layers,Layers,STARTUP,Y Combinator,source_verified
Algen Biotechnologies,Algen Biotechnologies,STARTUP,Y Combinator,source_verified
Amika,Amika,STARTUP,Y Combinator,source_verified
Sourcebot,Sourcebot,STARTUP,Y Combinator,source_verified
Pixley AI,Pixley AI,STARTUP,Y Combinator,source_verified
ComplyDo,ComplyDo,STARTUP,Y Combinator,source_verified
Nexus,Nexus,STARTUP,Y Combinator,source_verified
MarkIt,MarkIt,STARTUP,Y Combinator,source_verified
Rivet,Rivet,STARTUP,Y Combinator,source_verified
MOVEdot,MOVEdot,STARTUP,Y Combinator,source_verified
Soren,Soren,STARTUP,Y Combinator,source_verified
Narrative,Narrative,STARTUP,Y Combinator,source_verified
Prox,Prox,STARTUP,Y Combinator,source_verified
Primer,Primer,STARTUP,Y Combinator,source_verified
Trelium,Trelium,STARTUP,Y Combinator,source_verified
Uplane,Uplane,STARTUP,Y Combinator,source_verified
Structured AI,Structured AI,STARTUP,Y Combinator,source_verified
SellRaze,SellRaze,STARTUP,Y Combinator,source_verified
Clicks Health,Clicks Health,STARTUP,Y Combinator,source_verified
Clerked,Clerked,STARTUP,Y Combinator,source_verified
Unsiloed AI,Unsiloed AI,STARTUP,Y Combinator,source_verified
Brickanta,Brickanta,STARTUP,Y Combinator,source_verified
Sorce,Sorce,STARTUP,Y Combinator,source_verified
Bolna AI,Bolna AI,STARTUP,Y Combinator,source_verified
Lexi,Lexi,STARTUP,Y Combinator,source_verified
Specific,Specific,STARTUP,Y Combinator,source_verified
Semble AI,Semble AI,STARTUP,Y Combinator,source_verified
Freeport Markets,Freeport Markets,STARTUP,Y Combinator,source_verified
Openroll,Openroll,STARTUP,Y Combinator,source_verified
Veria Labs,Veria Labs,STARTUP,Y Combinator,source_verified
Adaptional,Adaptional,STARTUP,Y Combinator,source_verified
Patent Watch,Patent Watch,STARTUP,Y Combinator,source_verified
Zavo,Zavo,STARTUP,Y Combinator,source_verified
Mixy,Mixy,STARTUP,Y Combinator,source_verified
Imagine AI,Imagine AI,STARTUP,Y Combinator,source_verified
Axial,Axial,STARTUP,Y Combinator,source_verified
Dedalus Labs,Dedalus Labs,STARTUP,Y Combinator,source_verified
Piggy Robotics,Piggy Robotics,STARTUP,Y Combinator,source_verified
RowFlow,RowFlow,STARTUP,Y Combinator,source_verified
Relling,Relling,STARTUP,Y Combinator,source_verified
Topological,Topological,STARTUP,Y Combinator,source_verified
Stellon Labs,Stellon Labs,STARTUP,Y Combinator,source_verified
Induction Labs,Induction Labs,STARTUP,Y Combinator,source_verified
Pleom,Pleom,STARTUP,Y Combinator,source_verified
EffiGov,EffiGov,STARTUP,Y Combinator,source_verified
Tesora,Tesora,STARTUP,Y Combinator,source_verified
Char,Char,STARTUP,Y Combinator,source_verified
Lark,Lark,STARTUP,Y Combinator,source_verified
Serafis,Serafis,STARTUP,Y Combinator,source_verified
Alara,Alara,STARTUP,Y Combinator,source_verified
Maximal,Maximal,STARTUP,Y Combinator,source_verified
LLM Stats,LLM Stats,STARTUP,Y Combinator,source_verified
Datafruit,Datafruit,STARTUP,Y Combinator,source_verified
Interface,Interface,STARTUP,Y Combinator,source_verified
Normal,Normal,STARTUP,Y Combinator,source_verified
Knowlify,Knowlify,STARTUP,Y Combinator,source_verified
Trace,Trace,STARTUP,Y Combinator,source_verified
Astor,Astor,STARTUP,Y Combinator,source_verified
Prosper,Prosper,STARTUP,Y Combinator,source_verified
burnt,burnt,STARTUP,Y Combinator,source_verified
Paloma,Paloma,STARTUP,Y Combinator,source_verified
NOSO LABS,NOSO LABS,STARTUP,Y Combinator,source_verified
Frizzle,Frizzle,STARTUP,Y Combinator,source_verified
CLODO,CLODO,STARTUP,Y Combinator,source_verified
Meteor,Meteor,STARTUP,Y Combinator,source_verified
Riverbank,Riverbank,STARTUP,Y Combinator,source_verified
Playgent,Playgent,STARTUP,Y Combinator,source_verified
Lotas,Lotas,STARTUP,Y Combinator,source_verified
Lilac,Lilac,STARTUP,Y Combinator,source_verified
Fleetline,Fleetline,STARTUP,Y Combinator,source_verified
Monte,Monte,STARTUP,Y Combinator,source_verified
ContextFort,ContextFort,STARTUP,Y Combinator,source_verified
Quotain,Quotain,STARTUP,Y Combinator,source_verified
Design Arena,Design Arena,STARTUP,Y Combinator,source_verified
Blue,Blue,STARTUP,Y Combinator,source_verified
MangoDesk,MangoDesk,STARTUP,Y Combinator,source_verified
Veritus,Veritus,STARTUP,Y Combinator,source_verified
Floot,Floot,STARTUP,Y Combinator,source_verified
Omnara,Omnara,STARTUP,Y Combinator,source_verified
Doe,Doe,STARTUP,Y Combinator,source_verified
ProcIndex,ProcIndex,STARTUP,Y Combinator,source_verified
Liva AI,Liva AI,STARTUP,Y Combinator,source_verified
Swerve,Swerve,STARTUP,Y Combinator,source_verified
Panoptive,Panoptive,STARTUP,Y Combinator,source_verified
Stockline,Stockline,STARTUP,Y Combinator,source_verified
TraceRoot.AI,TraceRoot.AI,STARTUP,Y Combinator,source_verified
Mimos,Mimos,STARTUP,Y Combinator,source_verified
OS3,OS3,STARTUP,Y Combinator,source_verified
TwentyTwo,TwentyTwo,STARTUP,Y Combinator,source_verified
GhostEye,GhostEye,STARTUP,Y Combinator,source_verified
truthsystems,truthsystems,STARTUP,Y Combinator,source_verified
KERNEL,KERNEL,STARTUP,Y Combinator,source_verified
Monarcha,Monarcha,STARTUP,Y Combinator,source_verified
Lanesurf,Lanesurf,STARTUP,Y Combinator,source_verified
Sapien,Sapien,STARTUP,Y Combinator,source_verified
Certus AI,Certus AI,STARTUP,Y Combinator,source_verified
VibeFlow,VibeFlow,STARTUP,Y Combinator,source_verified
DeepAware AI (Robotics Center of Silicon Valley),DeepAware AI (Robotics Center of Silicon Valley),STARTUP,Y Combinator,source_verified
Manufact,Manufact,STARTUP,Y Combinator,source_verified
Modelence,Modelence,STARTUP,Y Combinator,source_verified
Okibi,Okibi,STARTUP,Y Combinator,source_verified
SigmanticAI,SigmanticAI,STARTUP,Y Combinator,source_verified
Notte,Notte,STARTUP,Y Combinator,source_verified
Alter,Alter,STARTUP,Y Combinator,source_verified
TectoAI,TectoAI,STARTUP,Y Combinator,source_verified
Luminal,Luminal,STARTUP,Y Combinator,source_verified
Physical Turing,Physical Turing,STARTUP,Y Combinator,source_verified
Motives,Motives,STARTUP,Y Combinator,source_verified
Embedder,Embedder,STARTUP,Y Combinator,source_verified
Cactus,Cactus,STARTUP,Y Combinator,source_verified
Channel3,Channel3,STARTUP,Y Combinator,source_verified
Interfere,Interfere,STARTUP,Y Combinator,source_verified
PARES AI,PARES AI,STARTUP,Y Combinator,source_verified
Rebulk,Rebulk,STARTUP,Y Combinator,source_verified
Phases,Phases,STARTUP,Y Combinator,source_verified
Magnitude,Magnitude,STARTUP,Y Combinator,source_verified
Closera,Closera,STARTUP,Y Combinator,source_verified
Kestroll,Kestroll,STARTUP,Y Combinator,source_verified
Humoniq,Humoniq,STARTUP,Y Combinator,source_verified
Wafer,Wafer,STARTUP,Y Combinator,source_verified
Cifrato,Cifrato,STARTUP,Y Combinator,source_verified
Autosana,Autosana,STARTUP,Y Combinator,source_verified
Nozomio,Nozomio,STARTUP,Y Combinator,source_verified
Finto,Finto,STARTUP,Y Combinator,source_verified
Async,Async,STARTUP,Y Combinator,source_verified
Altur,Altur,STARTUP,Y Combinator,source_verified
Pally,Pally,STARTUP,Y Combinator,source_verified
Reacher,Reacher,STARTUP,Y Combinator,source_verified
Proliferate,Proliferate,STARTUP,Y Combinator,source_verified
Cyberdesk,Cyberdesk,STARTUP,Y Combinator,source_verified
Boost Robotics,Boost Robotics,STARTUP,Y Combinator,source_verified
Anana,Anana,STARTUP,Y Combinator,source_verified
Kairos,Kairos,STARTUP,Y Combinator,source_verified
Kashikoi,Kashikoi,STARTUP,Y Combinator,source_verified
Nimbic AI,Nimbic AI,STARTUP,Y Combinator,source_verified
neoncoral,neoncoral,STARTUP,Y Combinator,source_verified
Beluga,Beluga,STARTUP,Y Combinator,source_verified
HelixDB,HelixDB,STARTUP,Y Combinator,source_verified
Clarm,Clarm,STARTUP,Y Combinator,source_verified
stratify,stratify,STARTUP,Y Combinator,source_verified
Besimple AI,Besimple AI,STARTUP,Y Combinator,source_verified
Bramante,Bramante,STARTUP,Y Combinator,source_verified
Nomi,Nomi,STARTUP,Y Combinator,source_verified
Clidey,Clidey,STARTUP,Y Combinator,source_verified
Paper Instruments,Paper Instruments,STARTUP,Y Combinator,source_verified
Tegore,Tegore,STARTUP,Y Combinator,source_verified
HABIT,HABIT,STARTUP,Y Combinator,source_verified
Chestnut,Chestnut,STARTUP,Y Combinator,source_verified
Mbodi AI,Mbodi AI,STARTUP,Y Combinator,source_verified
Sixtyfour,Sixtyfour,STARTUP,Y Combinator,source_verified
Naïve,Naïve,STARTUP,Y Combinator,source_verified
Godela,Godela,STARTUP,Y Combinator,source_verified
StarSling,StarSling,STARTUP,Y Combinator,source_verified
Kirana AI,Kirana AI,STARTUP,Y Combinator,source_verified
Hemut,Hemut,STARTUP,Y Combinator,source_verified
QualGent,QualGent,STARTUP,Y Combinator,source_verified
Kaelio,Kaelio,STARTUP,Y Combinator,source_verified
Cohesive,Cohesive,STARTUP,Y Combinator,source_verified
Acolite,Acolite,STARTUP,Y Combinator,source_verified
Moby Analytics,Moby Analytics,STARTUP,Y Combinator,source_verified
Mesmer,Mesmer,STARTUP,Y Combinator,source_verified
Docket,Docket,STARTUP,Y Combinator,source_verified
Lumari,Lumari,STARTUP,Y Combinator,source_verified
BitBoard,BitBoard,STARTUP,Y Combinator,source_verified
Pelica,Pelica,STARTUP,Y Combinator,source_verified
Bluejay,Bluejay,STARTUP,Y Combinator,source_verified
Kestral,Kestral,STARTUP,Y Combinator,source_verified
Orchid,Orchid,STARTUP,Y Combinator,source_verified
Theta,Theta,STARTUP,Y Combinator,source_verified
MorphoAI,MorphoAI,STARTUP,Y Combinator,source_verified
Sim,Sim,STARTUP,Y Combinator,source_verified
IRBC,IRBC,STARTUP,Y Combinator,source_verified
Crimson,Crimson,STARTUP,Y Combinator,source_verified
Blueshoe,Blueshoe,STARTUP,Y Combinator,source_verified
Adentris,Adentris,STARTUP,Y Combinator,source_verified
Hanji,Hanji,STARTUP,Y Combinator,source_verified
throxy,throxy,STARTUP,Y Combinator,source_verified
Almond,Almond,STARTUP,Y Combinator,source_verified
Zeon Systems,Zeon Systems,STARTUP,Y Combinator,source_verified
Lucis,Lucis,STARTUP,Y Combinator,source_verified
Blaxel,Blaxel,STARTUP,Y Combinator,source_verified
Morphik,Morphik,STARTUP,Y Combinator,source_verified
Golf,Golf,STARTUP,Y Combinator,source_verified
Units,Units,STARTUP,Y Combinator,source_verified
Parsewise,Parsewise,STARTUP,Y Combinator,source_verified
Plexe,Plexe,STARTUP,Y Combinator,source_verified
nao Labs,nao Labs,STARTUP,Y Combinator,source_verified
Ralo,Ralo,STARTUP,Y Combinator,source_verified
Tinfoil,Tinfoil,STARTUP,Y Combinator,source_verified
Human Behavior,Human Behavior,STARTUP,Y Combinator,source_verified
Text.ai,Text.ai,STARTUP,Y Combinator,source_verified
Cartpole,Cartpole,STARTUP,Y Combinator,source_verified
Frekil,Frekil,STARTUP,Y Combinator,source_verified
Synthio Labs,Synthio Labs,STARTUP,Y Combinator,source_verified
Rimba,Rimba,STARTUP,Y Combinator,source_verified
Code Four,Code Four,STARTUP,Y Combinator,source_verified
Wavedash,Wavedash,STARTUP,Y Combinator,source_verified
Sureform,Sureform,STARTUP,Y Combinator,source_verified
Eloquent AI,Eloquent AI,STARTUP,Y Combinator,source_verified
Vision Lab,Vision Lab,STARTUP,Y Combinator,source_verified
Freesolo,Freesolo,STARTUP,Y Combinator,source_verified
SalesPatriot,SalesPatriot,STARTUP,Y Combinator,source_verified
Feyn,Feyn,STARTUP,Y Combinator,source_verified
HUD,HUD,STARTUP,Y Combinator,source_verified
Elip AI,Elip AI,STARTUP,Y Combinator,source_verified
Praxim,Praxim,STARTUP,Y Combinator,source_verified
Vocality Health,Vocality Health,STARTUP,Y Combinator,source_verified
Tergle,Tergle,STARTUP,Y Combinator,source_verified
Truffle AI,Truffle AI,STARTUP,Y Combinator,source_verified
Trim,Trim,STARTUP,Y Combinator,source_verified
Lopus,Lopus,STARTUP,Y Combinator,source_verified
Stillwind,Stillwind,STARTUP,Y Combinator,source_verified
Rebolt,Rebolt,STARTUP,Y Combinator,source_verified
TamLabs,TamLabs,STARTUP,Y Combinator,source_verified
Waffle,Waffle,STARTUP,Y Combinator,source_verified
Verbiflow,Verbiflow,STARTUP,Y Combinator,source_verified
Maive,Maive,STARTUP,Y Combinator,source_verified
Contrario,Contrario,STARTUP,Y Combinator,source_verified
Agentin AI,Agentin AI,STARTUP,Y Combinator,source_verified
Olive,Olive,STARTUP,Y Combinator,source_verified
Candor,Candor,STARTUP,Y Combinator,source_verified
Exla,Exla,STARTUP,Y Combinator,source_verified
Cardamon,Cardamon,STARTUP,Y Combinator,source_verified
Closure,Closure,STARTUP,Y Combinator,source_verified
Mundo AI,Mundo AI,STARTUP,Y Combinator,source_verified
Artificial Societies,Artificial Societies,STARTUP,Y Combinator,source_verified
Astro,Astro,STARTUP,Y Combinator,source_verified
Emergent,Emergent,STARTUP,Y Combinator,source_verified
Rally,Rally,STARTUP,Y Combinator,source_verified
Dartboard,Dartboard,STARTUP,Y Combinator,source_verified
Bluebook,Bluebook,STARTUP,Y Combinator,source_verified
Harbera,Harbera,STARTUP,Y Combinator,source_verified
Proception Inc,Proception Inc,STARTUP,Y Combinator,source_verified
Delineate,Delineate,STARTUP,Y Combinator,source_verified
Oki,Oki,STARTUP,Y Combinator,source_verified
YouShift,YouShift,STARTUP,Y Combinator,source_verified
Tweeks.io,Tweeks.io,STARTUP,Y Combinator,source_verified
Weave,Weave,STARTUP,Y Combinator,source_verified
Outship,Outship,STARTUP,Y Combinator,source_verified
General Trajectory,General Trajectory,STARTUP,Y Combinator,source_verified
Mentra,Mentra,STARTUP,Y Combinator,source_verified
Wildcard,Wildcard,STARTUP,Y Combinator,source_verified
